# Imatges «mateixa font que l'Eva» — bell-lloc/t2

| # | ranura Eva | peu | nostre forat | estat | phash | ncc | psr | escala | direcció |
|--:|---|---|---|---|--:|--:|--:|--:|---|
| 1 | `fig_situacio` | Figura 1 i Figura 2. Detall de la ubicació de la parcel·la e | — | **NO_DATA** | — | — | — | — | — |
| 2 | `fig_situacio` | Figura 1 i Figura 2. Detall de la ubicació de la parcel·la e | `fig_situacio_image_1` | **MISMATCH** | 28 | 0.221 | 2.9 | 0.421 | nostra dins veritat |
| 3 | `fig_projecte` | Figura 3. Ubicació de l’habitatge a l’interior de la parcel· | `fig_projecte_image_1` | **MATCH** | 8 | — | — | — | sencera |
| 4 | `foto_vista` | Fotografia 1 i Fotografia 2. Vistes generals de la zona d’es | `photo_site_image_2` | **MATCH** | 0 | — | — | — | sencera |
| 5 | `foto_vista` | Fotografia 1 i Fotografia 2. Vistes generals de la zona d’es | `photo_site_image_1` | **MATCH** | 0 | — | — | — | sencera |
| 6 | `foto_dpsh` | Fotografia 3. Vista de la màquina utilitzada en un dels assa | `photo_dpsh_image` | **MATCH** | 0 | — | — | — | sencera |
| 7 | `foto_sondeig` | Fotografia 4. Vista de la màquina utilitzada per a la realit | `photo_sondeig_image` | **MATCH** | 0 | — | — | — | sencera |
| 9 | `fig_geologic` | Figura 5. Mapa geològic a escala 1:50.000 de la zona en estu | `fig_geological_image` | **MISMATCH** | 32 | 0.314 | 8.8 | 0.14 | veritat dins nostra |
| 10 | `foto_materials` | Fotografia 5. Detall dels materials recuperats en el sondeig | `photo_materials_image` | **MATCH** | 0 | — | — | — | sencera |
| 11 | `fig_tall` | Figura 6. Detall del tall de correlació que s’adjunta als an | `fig_correlation_image` | **MATCH** | 8 | — | — | — | sencera |

Totals: 7 M · 0 C · 2 X · 1 ND → 78 %; sobrants (nostres sense figura de l'Eva): 0 
