
## bell-lloc/viab
| taula | MATCH | CLOSE | MISMATCH | files ±extra/−absents | detall no-MATCH |
|---|--:|--:|--:|---|---|
| plantes | 3 | 0 | 3 |  | fila0[1] MISM «»↔«Pb+1Pp»; fila1[1] MISM «607»↔«995»; fila2[1] MISM «297»↔«280+86» |
| cte_edificacio | 3 | 0 | 1 |  | fila0[1] MISM «C-0»↔«C-1» |
| dpsh | 10 | 0 | 0 |  |  |
| sondeig | 5 | 0 | 0 |  |  |
| spt_ma | 3 | 0 | 2 |  | spt-1[3] MISM «58»↔«54»; spt-1[4] MISM «Graves con arena carbonatada»↔«Graves en matriu sorrenca» |
| mostra_lab | 4 | 1 | 0 |  | fila0[2] CLOS «Profunditat: -1.0 a -1.6»↔«Profunditat:  -1.0  a -1.60 m» |
| soil_levels | 1 | 1 | 0 |  | 1r[1] CLOS «Graves carbonatades»↔«Graves en matriu sorrenca carbonatades» |
| permeabilitat | 1 | 2 | 0 |  | 1r[1] CLOS «10^-2 a 10^-4»↔«10 – 10-2»; 1r[2] CLOS «Graves carbonatades»↔«Graves en matriu sorrenca carbonatades» |
| sulfats | 4 | 0 | 0 |  |  |
| sismica | 3 | 0 | 1 |  | 1[2] MISM «2.60»↔«2.45» |
| geotecnica | 3 | 1 | 3 |  | 1r[0] CLOS «1er nivell. Graves carbonatades.»↔«1er nivell. Graves en matriu sorrenca»; 1r[1] MISM «23-R»↔«25-R»; 1r[2] MISM «58»↔«54»; 1r[6] MISM «450»↔«650» |

**bell-lloc/viab: 40 MATCH · 5 CLOSE · 10 MISMATCH · 0 files extra · 0 files absents → 82 % (M+C)/comparables**
